City,Latitude,Longitude,AQI
West Carrollton City,,,
South El Monte,34.0519548,-118.0467339,3.0
Cutler Ridge,25.580662,-80.34672,3.0
Fort Walton Beach,30.4057552,-86.618842,3.0
Lacey,47.0263876,-122.8072257,2.0
New Kensington,40.5697893,-79.7647705,3.0
Sarasota,27.3365805,-82.5308545,3.0
Connersville,39.6411589,-85.1410748,3.0
El Rosario,28.4325417,-16.36842449999159,2.0
Palmetto,27.5214269,-82.5723193,3.0
Fort Stewart,31.8694349,-81.6077657,3.0
Uvalde,29.2095883,-99.7861833,3.0
Fort Saint John,,,
Maryville,38.7236594,-89.9559348,4.0
Aguascalientes,21.880487,-102.2967195,2.0
Muna,-5.025868750000001,122.53257613519912,1.0
Tampa,27.9477595,-82.458444,2.0
Davenport,41.5235808,-90.5770967,3.0
Lafayette,30.2043259,-92.0298813,3.0
Red Bluff,40.1784279,-122.235923,2.0
Huntington Station,40.8534318,-73.4115091,3.0
Passaic,40.8567663,-74.1284764,3.0
Juarez,20.7045354,-101.35827,2.0
Modesto,37.6390972,-120.9968782,2.0
Grand Junction,39.063956,-108.5507317,2.0
Norridge,41.9633641,-87.827284,3.0
East Highland Park,37.5809789,-77.4069263,3.0
Chambersburg,39.9405903,-77.6598624,3.0
Mission Viejo,33.5965685,-117.659405,4.0
Banderilla,19.5925122,-96.9470316,2.0
Terrytown,29.910205,-90.0325709,3.0
Vadnais Heights,45.0574659,-93.0738306,2.0
Norristown,40.121497,-75.3399048,3.0
Rubidoux,33.9964933,-117.4079318,3.0
Beavercreek,39.7092262,-84.0632685,3.0
Mountlake Terrace,47.7909667,-122.3066395,2.0
Goodyear,33.4353672,-112.3576,3.0
Celaya,20.521788,-100.8140458,2.0
Guelph,43.5460516,-80.2493276,3.0
Catano,18.4410233,-66.1191055,1.0
Ensley,30.5188067,-87.2727509,3.0
Spring,30.0798826,-95.4172549,3.0
Fairhaven,41.6376043,-70.9036487,4.0
Bonham,33.5822077,-96.1785028,3.0
Puyallup,47.1849009,-122.29214,2.0
Newburyport,42.8125913,-70.8772751,3.0
Skokie,42.0333694,-87.7333972,3.0
