Lat,Lon,AQI,CO,NH3,NO2,O3,PM10,PM2.5,SO2
19.4667,-97.6833,1,156.88,0.46,0.96,52.21,1.94,1.73,0.12
11.9566,-85.9636,4,467.3,0.0,6.77,24.68,53.71,51.09,23.13
45.4462,-122.6393,2,220.3,0.1,1.14,69.38,0.84,0.5,0.23
36.869,-94.368,2,223.64,2.66,3.47,90.12,3.08,2.22,1.36
42.3754,-72.5192,2,243.66,0.55,9.68,65.09,1.7,1.25,0.21
40.4417,-79.882,1,330.45,1.06,25.36,35.41,5.33,4.09,1.03
41.4739,-81.5371,2,270.37,0.6,21.42,65.09,6.82,5.96,4.17
30.8207,-88.0706,2,250.34,0.6,3.56,87.26,3.8,3.17,2.0
-23.7869,-54.2836,2,460.63,3.1,3.6,43.27,12.7,12.07,0.18
18.035,-66.8499,1,176.91,0.73,0.16,23.6,0.69,0.5,0.12
33.8982,-84.2833,2,293.73,1.6,15.94,79.39,7.88,5.56,4.11
42.4251,-71.0662,2,440.6,1.19,45.93,19.85,9.06,6.32,1.16
41.824,-71.4128,1,350.48,1.03,29.82,47.21,9.59,6.82,1.74
16.8833,-95.0333,2,205.28,0.14,0.57,64.37,4.15,4.05,0.22
19.1736,-98.2333,2,247.0,1.19,6.6,87.26,2.94,2.12,1.68
26.2712,-80.2706,3,216.96,0.23,3.04,100.14,12.44,3.24,0.67
37.8092,-85.4669,2,293.73,1.17,15.08,83.69,13.3,11.12,2.8
20.9167,-97.6833,2,240.33,0.21,1.54,80.82,6.67,6.38,1.71
30.0035,-91.8187,3,297.07,1.19,12.68,103.0,7.51,6.95,1.71
47.4272,-92.9377,2,226.97,1.19,2.27,92.98,6.11,5.5,1.94
40.3978,-105.075,2,168.56,0.25,1.23,77.96,1.22,0.79,0.05
30.4383,-84.2807,2,247.0,0.91,2.04,77.96,4.37,4.01,0.49
41.0998,-80.6495,2,263.69,0.53,9.85,77.96,8.04,6.97,3.1
40.5247,-111.8638,2,407.22,3.36,53.47,16.81,8.54,6.88,3.16
35.1495,-90.049,2,290.39,1.24,19.02,70.1,8.87,7.89,1.59
40.5865,-122.3917,2,206.95,0.06,0.53,94.41,0.54,0.5,0.03
21.0167,-102.35,2,200.27,2.15,1.41,81.54,4.44,3.78,0.81
32.8886,-80.0075,2,236.99,0.59,4.41,74.39,2.83,2.36,1.28
45.4167,11.0333,2,243.66,1.06,2.44,60.08,5.49,5.27,0.12
44.8041,-93.1669,2,243.66,1.76,9.51,88.69,4.99,4.21,3.43
19.1914,-99.4669,3,290.39,0.97,5.74,110.15,12.63,10.24,6.26
29.0283,-81.3031,2,211.95,0.14,1.59,84.4,5.4,1.88,0.68
18.1397,-67.1274,1,198.6,0.66,0.21,30.4,0.8,0.5,0.18
33.8895,-118.1598,3,317.1,1.19,26.39,117.3,18.04,13.05,12.64
38.5925,-90.3573,2,283.72,1.14,14.4,87.98,5.28,4.14,8.46
15.7432,-96.4661,1,277.04,0.13,0.61,47.92,8.08,7.56,0.18
40.66,-111.9963,2,180.24,0.24,4.37,69.38,1.27,0.54,1.59
39.2507,-76.5205,2,283.72,1.24,15.42,67.23,4.03,2.69,1.3
40.3084,-88.1559,2,236.99,1.19,6.26,90.12,2.92,2.68,1.3
32.5333,-117.0167,2,230.31,0.24,3.6,82.97,9.55,3.1,0.4
37.5202,-122.2758,2,226.97,0.27,3.51,72.24,2.58,1.21,1.18
40.732,-73.1857,2,283.72,0.95,17.99,77.96,3.61,2.53,1.85
40.7967,-81.5215,2,283.72,1.92,12.51,67.23,8.07,6.36,2.21
43.6954,-116.354,2,198.6,0.23,0.39,75.82,0.6,0.5,0.01
29.6938,-95.6649,4,293.73,1.22,13.54,141.62,10.59,9.57,6.44
38.8329,-76.9594,1,327.11,1.62,25.02,53.64,5.05,3.73,1.83
41.2901,-73.9204,2,240.33,0.43,8.23,80.82,2.3,1.82,1.88
27.8661,-82.3265,2,226.97,0.47,5.14,97.28,7.13,2.74,0.86
35.5067,-97.7625,3,223.64,0.98,1.67,103.0,5.22,4.65,2.18
29.9913,-93.9585,2,270.37,1.05,11.48,98.71,6.25,5.73,5.9
43.5945,-83.8889,2,300.41,1.27,10.2,85.12,12.54,11.56,1.71
37.581,-77.4069,1,297.07,1.0,15.77,46.49,4.47,3.94,0.71
38.7714,-90.3709,2,307.08,1.27,19.19,92.98,7.03,5.54,9.78
27.5803,-80.3867,2,206.95,0.13,1.03,91.55,10.1,2.44,0.53
37.948,-122.0608,3,226.97,0.62,5.83,103.0,3.84,2.99,4.17
20.9333,-89.0167,2,250.34,0.12,1.61,90.12,8.21,5.81,0.17
17.6833,-99.65,1,181.91,0.59,2.01,55.08,6.7,5.84,0.48
42.593,-82.3885,2,317.1,1.58,17.65,72.24,13.1,10.98,7.21
30.1897,-82.6393,2,230.31,0.59,2.74,78.68,2.74,2.38,0.86
32.5667,-116.6333,3,330.45,0.9,10.63,104.43,8.54,5.35,4.47
39.7661,-105.0772,2,170.23,0.23,2.12,72.96,1.62,1.11,0.21
36.8611,10.3316,2,250.34,0.29,2.21,80.82,21.82,11.66,1.94
28.0345,-80.5887,2,206.95,0.1,0.78,94.41,7.38,1.91,0.51
35.8656,-101.9732,2,205.28,1.03,0.72,97.28,8.64,6.97,1.03
44.4001,-79.6663,1,350.48,2.31,13.54,54.36,3.58,2.29,1.8
20.0833,-99.2167,2,163.56,0.37,0.64,67.23,0.95,0.74,1.46
36.1632,-82.831,1,250.34,3.14,9.51,52.93,4.09,3.17,0.35
